
Hire medical staff,2022-05-11 03:36:42.696
Hire medical staff,2022-05-11 03:37:26.987
Hire medical staff,2022-05-11 03:38:11.082
Hire medical staff,2022-05-11 03:38:47.747
Fire medical staff,2022-05-11 03:39:08.929
Display the medical staff,2022-05-11 03:39:10.166
Sort medical staff by salary,2022-05-11 03:39:29.696
Display the medical staff,2022-05-11 03:39:29.699
Register a patient,2022-05-11 03:40:09.231
Register a patient,2022-05-11 03:40:53.903
Register a patient,2022-05-11 03:42:55.711
Display patients,2022-05-11 03:43:04.703
Delete a patient,2022-05-11 03:43:18.092
Display patients,2022-05-11 03:43:22.196
Display the medical staff,2022-05-11 03:43:48.452
Create an appointment,2022-05-11 03:44:36.579
Display the medical staff,2022-05-11 03:45:08.884
Create an appointment,2022-05-11 03:45:42.063
Display appointments,2022-05-11 03:45:49.657
Sort patients by name,2022-05-11 03:45:53.554
Display patients,2022-05-11 03:45:53.555
Cancel an appointment,2022-05-11 03:46:11.715
Display appointments,2022-05-11 03:46:15.649
